Benchmark,Result,Time (seconds)
car, SUCCESS,1000.003
discrete, SUCCESS,1000.004
logistic, SUCCESS,1000.004
sgd, SUCCESS,0.536
sgd_001, SUCCESS,0.536
cav13-1, SUCCESS,1000.004
cav13-2, SUCCESS,1000.005
unicycle, SUCCESS,1000.01
cohencu, SUCCESS,1000.008
circuit, SUCCESS,1000.005
deter, SUCCESS,1000.005
bound1, SUCCESS,1000.004
bound2, SUCCESS,1000.004
contrived, SUCCESS,1000.005
transcend, SUCCESS,0.802
basin, SUCCESS,1000.005
lyapunov, SUCCESS,1000.005
motivate, SUCCESS,1000.005
