Benchmark,Result,Time (seconds)
car, SUCCESS,1000.01
discrete, SUCCESS,1000.005
logistic, SUCCESS,1000.005
sgd, SUCCESS,1000.005
sgd_001, SUCCESS,1000.005
cav13-1, SUCCESS,1000.005
cav13-2, SUCCESS,1000.005
unicycle, SUCCESS,0.973
cohencu, SUCCESS,1000.005
circuit, SUCCESS,1000.005
deter, SUCCESS,1000.005
bound1, SUCCESS,1000.005
bound2, SUCCESS,1000.005
contrived, SUCCESS,1000.005
transcend, SUCCESS,1000.005
basin, SUCCESS,1000.005
lyapunov, SUCCESS,1000.005
motivate, SUCCESS,1000.005
